Time, A로 온도, B로 온도, C로 온도
2021-01-08 0:00,721,729,700
2021-01-08 0:05,720,729,699
2021-01-08 0:10,720,729,700
2021-01-08 0:15,720,730,700
2021-01-08 0:20,720,730,700
2021-01-08 0:25,720,730,700
2021-01-08 0:30,720,730,700
2021-01-08 0:35,720,730,700
2021-01-08 0:40,720,731,700
2021-01-08 0:45,720,731,700
2021-01-08 0:50,720,731,700
2021-01-08 0:55,720,730,700
2021-01-08 1:00,720,730,699
2021-01-08 1:05,720,730,700
2021-01-08 1:10,720,730,699
2021-01-08 1:15,720,730,700
2021-01-08 1:20,720,730,700
2021-01-08 1:25,720,730,700
2021-01-08 1:30,720,730,700
2021-01-08 1:35,720,730,699
2021-01-08 1:40,720,730,700
2021-01-08 1:45,720,730,700
2021-01-08 1:50,720,730,700
2021-01-08 1:55,720,730,700
2021-01-08 2:00,720,730,700
2021-01-08 2:05,720,730,700
2021-01-08 2:10,720,730,700
2021-01-08 2:15,700,730,700
2021-01-08 2:20,720,730,700
2021-01-08 2:25,720,730,699
2021-01-08 2:30,720,730,701
2021-01-08 2:35,720,730,700
2021-01-08 2:40,720,730,730
2021-01-08 2:45,720,730,700
2021-01-08 2:50,720,730,700
2021-01-08 2:55,720,730,700
2021-01-08 3:00,720,730,700
2021-01-08 3:05,720,730,700
2021-01-08 3:10,720,730,699
2021-01-08 3:15,720,730,700
2021-01-08 3:20,720,730,700
2021-01-08 3:25,720,730,700
2021-01-08 3:30,720,730,700
2021-01-08 3:35,720,730,700
2021-01-08 3:40,720,730,730
2021-01-08 3:45,720,730,700
2021-01-08 3:50,720,730,702
2021-01-08 3:55,720,730,701
2021-01-08 4:00,720,730,699
2021-01-08 4:05,720,730,701
2021-01-08 4:10,720,730,701
2021-01-08 4:15,720,730,700
2021-01-08 4:20,720,730,699
2021-01-08 4:25,720,730,700
2021-01-08 4:30,720,730,700
2021-01-08 4:35,720,730,700
2021-01-08 4:40,720,730,700
2021-01-08 4:45,720,730,699
2021-01-08 4:50,720,730,700
2021-01-08 4:55,720,730,700
2021-01-08 5:00,720,730,700
2021-01-08 5:05,720,730,699
2021-01-08 5:10,720,730,702
2021-01-08 5:15,720,730,700
2021-01-08 5:20,720,730,700
2021-01-08 5:25,720,730,700
2021-01-08 5:30,720,730,700
2021-01-08 5:35,720,730,699
2021-01-08 5:40,720,730,700
2021-01-08 5:45,720,730,700
2021-01-08 5:50,720,730,700
2021-01-08 5:55,720,730,699
2021-01-08 6:00,720,730,700
2021-01-08 6:05,720,728,700
2021-01-08 6:10,705,727,699
2021-01-08 6:15,710,727,700
2021-01-08 6:20,719,727,700
2021-01-08 6:25,725,728,701
2021-01-08 6:30,726,728,633
2021-01-08 6:35,727,731,598
2021-01-08 6:40,726,731,598
2021-01-08 6:45,725,728,611
2021-01-08 6:50,723,727,621
2021-01-08 6:55,722,732,634
2021-01-08 7:00,720,733,640
2021-01-08 7:05,719,734,648
2021-01-08 7:10,720,733,643
2021-01-08 7:15,716,732,634
2021-01-08 7:20,718,730,620
2021-01-08 7:25,721,729,612
2021-01-08 7:30,722,729,599
2021-01-08 7:35,722,728,594
2021-01-08 7:40,721,728,728
2021-01-08 7:45,717,729,584
2021-01-08 7:50,720,729,581
2021-01-08 7:55,721,729,581
2021-01-08 8:00,720,730,581
2021-01-08 8:05,721,728,584
2021-01-08 8:10,721,730,585
2021-01-08 8:15,720,730,585
2021-01-08 8:20,719,729,586
2021-01-08 8:25,719,729,581
2021-01-08 8:30,719,729,729
2021-01-08 8:35,719,731,584
2021-01-08 8:40,720,730,586
2021-01-08 8:45,720,730,591
2021-01-08 8:50,720,731,593
2021-01-08 8:55,719,730,589
